Original Stub Packed With UPX

Address   Disassembly                                                       String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
004261E9  push installer_1vs100.4ADBF4                                      "files"
00426241  push installer_1vs100.4ADC3C                                      "', true); } catch (e) {}\n"
0042624F  push installer_1vs100.4ADC38                                      "\\'"
00426281  push installer_1vs100.4AC304                                      "\\\\"
004262B3  push installer_1vs100.4ADBDC                                      "')) fso.DeleteFile ('"
004262CC  push installer_1vs100.4ADC38                                      "\\'"
004262FE  push installer_1vs100.4AC304                                      "\\\\"
00426330  push installer_1vs100.4ADBC0                                      "try { if (fso.FileExists ('"
0042656B  push installer_1vs100.4ADBB4                                      "registry"
004265AA  push installer_1vs100.4ADBB4                                      "registry"
0042661C  push installer_1vs100.4ADBA0                                      "'); } catch (e) {}\n"
00426635  push installer_1vs100.4ADC38                                      "\\'"
00426667  push installer_1vs100.4AC304                                      "\\\\"
00426699  push installer_1vs100.4ADB98                                      "path"
004266B2  push installer_1vs100.4AC304                                      "\\\\"
004266CB  push installer_1vs100.4ADB90                                      "hkey"
004266E4  push installer_1vs100.4ADB74                                      "try { shell.RegDelete ('"
0042691E  push installer_1vs100.4ADB40                                      "fso.DeleteFolder (rootDir, true); } catch (e) {}\n"
00426937  push installer_1vs100.4ADB00                                      "try { if (rootDir.SubFolders.count + rootDir.Files.count == 0) "
00426950  push installer_1vs100.4ADAF8                                      "');\n"
00426969  push installer_1vs100.4ADC38                                      "\\'"
0042699B  push installer_1vs100.4AC304                                      "\\\\"
004269CF  push installer_1vs100.4ADAD8                                      "var rootDir = fso.GetFolder ('"
00426B19  push installer_1vs100.4ADAAC                                      "fso.DeleteFile (WScript.ScriptFullName);\n"
00426B51  push installer_1vs100.4ADA94                                      "\\\\'); } catch (e) {}\n"
00426B62  push installer_1vs100.4ADC38                                      "\\'"
00426B94  push installer_1vs100.4AC304                                      "\\\\"
00426BC8  push installer_1vs100.4ADA74                                      "try { shell.RegDelete ('HKLM\\\\"
00426CB8  push installer_1vs100.4ADA94                                      "\\\\'); } catch (e) {}\n"
00426CC9  push installer_1vs100.4ADC38                                      "\\'"
00426CFB  push installer_1vs100.4AC304                                      "\\\\"
00426D2F  push installer_1vs100.4ADA74                                      "try { shell.RegDelete ('HKLM\\\\"
00426E1F  push installer_1vs100.4ADA44                                      "(WScript.Arguments(0) == '--no-del-conf'));\n"
00426E32  push installer_1vs100.4ADA0C                                      "var deleteConf = !((WScript.Arguments.length > 0) && "
00426E93  push installer_1vs100.4ADAF8                                      "');\n"
00426EA1  push installer_1vs100.4ADC38                                      "\\'"
00426ED0  push installer_1vs100.4AC304                                      "\\\\"
00426F31  push installer_1vs100.4AD9F8                                      "fso.DeleteFile ('"
00426F4A  push installer_1vs100.4AD9E0                                      "').Files.Count == 0)\n  "
00426F63  push installer_1vs100.4ADC38                                      "\\'"
00426F95  push installer_1vs100.4AC304                                      "\\\\"
00426FC7  push installer_1vs100.4AD9BC                                      "if (deleteConf && fso.GetFolder ('"
004271D5  push installer_1vs100.4AD9B0                                      "endmessage"
00427214  push installer_1vs100.4ADAF8                                      "');\n"
00427222  push installer_1vs100.4ADD54                                      "name"
0042725E  push installer_1vs100.4ADC38                                      "\\'"
00427296  push installer_1vs100.4AC304                                      "\\\\"
004272DC  push installer_1vs100.4ADD54                                      "name"
004273C0  push installer_1vs100.4AD9A8                                      "', 0, '"
004273D1  push installer_1vs100.4ADC38                                      "\\'"
00427406  push installer_1vs100.4AC304                                      "\\\\"
00427438  push installer_1vs100.4AD9B0                                      "endmessage"
0042744E  push installer_1vs100.4AD998                                      "shell.Popup ('"
00427B30  push installer_1vs100.4ADD88                                      "TEMP_PATH"
00428210  push installer_1vs100.4AC1A8                                      "list<T> too long"
00428390  mov eax,installer_1vs100.4ADDAC                                   "AmRadix::InvalidStringFormatException"
004286DC  push installer_1vs100.4ADDD4                                      "[%08x] %02d/%02d/%04d@%02d:%02d:%02d  "
004287F2  push installer_1vs100.4ADE00                                      " \t\n"
00428A28  push installer_1vs100.4ABC5C                                      "vector<T> too long"
00428B41  push installer_1vs100.4ABD38                                      "map/set<T> too long"
00428ED3  push installer_1vs100.4ABD4C                                      "invalid map/set<T> iterator"
00429302  push installer_1vs100.4ADF90                                      L"%u.%02u"
004293B9  push installer_1vs100.4ADF7C                                      "PROGRAM_FILES_PATH"
004294D7  push installer_1vs100.4ADF68                                      "ACID_APPDATA_PATH"
00429550  push installer_1vs100.4ADF50                                      "COMMON_PROGRAMS_PATH"
004295CD  push installer_1vs100.4ADF40                                      "DESKTOP_PATH"
00429646  push installer_1vs100.4ADF30                                      "WINDOWS_PATH"
004296BF  push installer_1vs100.4ADF24                                      "SYSTEM_PATH"
00429722  push installer_1vs100.4ADD88                                      "TEMP_PATH"
0042979C  push installer_1vs100.4ADF0C                                      "v1.20.128 [Acid R1.20]"
004297AA  push installer_1vs100.4ADF00                                      "ACID_BUILD"
00429810  push installer_1vs100.4ADEF0                                      "ACID_VERSION"
00429895  push installer_1vs100.4ADEE4                                      "ACID_USERID"
00429941  push installer_1vs100.4ADED8                                      "ACID_EXECID"
004299B1  push installer_1vs100.4ADED0                                      "ACID_OS"
00429A13  push installer_1vs100.4ADEC4                                      "ACID_ARCH"
00429A75  push installer_1vs100.4ADEAC                                      "ACID_BROWSER_VERSION"
00429B2B  push installer_1vs100.4ADEA0                                      "GamesRoot"
00429BA2  push installer_1vs100.4ADE84                                      "ACID_LEGACY_GAMESROOT_ATR"
00429C69  push installer_1vs100.4ADEA0                                      "GamesRoot"
00429CE0  push installer_1vs100.4ADE68                                      "ACID_LEGACY_GAMESROOT_ZL"
00429DA7  push installer_1vs100.4ADEA0                                      "GamesRoot"
00429E1E  push installer_1vs100.4ADE4C                                      "ACID_LEGACY_GAMESROOT_GH"
00429E8F  push installer_1vs100.4ADE40                                      "install.log"
